Date,Adj Close,Close,High,Low,Open,Volume,MA20,MA60,Daily_Return
2023-07-27,67807.0859375,71700.0,71700.0,69300.0,69900.0,24261179,71505.0,70018.33333333333,2.7220630372492893
2023-07-28,66766.8125,70600.0,72400.0,70100.0,71800.0,19420683,71425.0,70100.0,-1.5341701534170138
2023-07-31,66010.265625,69800.0,71000.0,69800.0,70900.0,13035420,71265.0,70173.33333333333,-1.1331444759206777
2023-08-01,67239.6640625,71100.0,71200.0,70000.0,70100.0,12299254,71170.0,70273.33333333333,1.8624641833810962
2023-08-02,66104.828125,69900.0,71000.0,69800.0,70700.0,13835020,71065.0,70340.0,-1.6877637130801704
2023-08-03,65064.54296875,68800.0,70200.0,68500.0,69900.0,20087090,70925.0,70398.33333333333,-1.573676680972813
2023-08-04,64591.69140625,68300.0,69100.0,68200.0,68800.0,12360193,70845.0,70460.0,-0.7267441860465129
2023-08-07,64780.82421875,68500.0,69200.0,67600.0,67700.0,10968505,70795.0,70531.66666666667,0.2928257686676483
2023-08-08,63929.69921875,67600.0,69100.0,67400.0,69000.0,14664709,70600.0,70590.0,-1.3138686131386912
2023-08-09,65159.12109375,68900.0,69600.0,67900.0,68000.0,17259673,70450.0,70663.33333333333,1.9230769230769162
2023-08-10,64307.98828125,68000.0,68500.0,67800.0,68300.0,10227311,70255.0,70706.66666666667,-1.3062409288824406
2023-08-11,63835.1328125,67500.0,68800.0,67500.0,68400.0,9781038,69960.0,70748.33333333333,-0.7352941176470562
2023-08-14,63645.984375,67300.0,67900.0,66900.0,67500.0,9352343,69660.0,70766.66666666667,-0.2962962962962945
2023-08-16,63362.29296875,67000.0,67100.0,66300.0,66700.0,13174578,69410.0,70743.33333333333,-0.4457652303120341
2023-08-17,63078.56640625,66700.0,66800.0,66000.0,66300.0,10778652,69160.0,70713.33333333333,-0.4477611940298498
2023-08-18,62700.27734375,66300.0,66700.0,65800.0,66000.0,11745006,68925.0,70678.33333333333,-0.5997001499250421
2023-08-21,62983.99609375,66600.0,67100.0,66300.0,66600.0,9720067,68740.0,70646.66666666667,0.4524886877828038
2023-08-22,62983.99609375,66600.0,67700.0,66300.0,67200.0,10500242,68550.0,70610.0,0.0
2023-08-23,63456.8515625,67100.0,67100.0,66400.0,66700.0,9549352,68405.0,70556.66666666667,0.7507507507507505
2023-08-24,64497.125,68200.0,68700.0,67900.0,68300.0,15044463,68325.0,70488.33333333333,1.6393442622950838
2023-08-25,63456.8515625,67100.0,67400.0,66900.0,67100.0,7032462,68095.0,70416.66666666667,-1.6129032258064502
2023-08-28,63173.1328125,66800.0,67000.0,66500.0,66800.0,5824628,67905.0,70348.33333333333,-0.44709388971684305
2023-08-29,63173.1328125,66800.0,67200.0,66600.0,66900.0,9114352,67755.0,70258.33333333333,0.0
2023-08-30,63456.8515625,67100.0,67700.0,67100.0,67300.0,9181223,67555.0,70181.66666666667,0.44910179640718084
2023-08-31,63267.71875,66900.0,67200.0,66400.0,67100.0,15964630,67405.0,70113.33333333333,-0.29806259314456574
2023-09-01,67145.09375,71000.0,71000.0,66700.0,66800.0,29738235,67515.0,70115.0,6.128550074738426
2023-09-04,67334.2421875,71200.0,72900.0,70700.0,72900.0,26286495,67660.0,70101.66666666667,0.28169014084507005
2023-09-05,66861.375,70700.0,71500.0,70200.0,70900.0,12330239,67770.0,70096.66666666667,-0.7022471910112404
2023-09-06,66199.3984375,70000.0,70800.0,69700.0,70700.0,11414620,67890.0,70063.33333333333,-0.990099009900991
2023-09-07,66577.671875,70400.0,70600.0,69600.0,70000.0,13741241,67965.0,70038.33333333333,0.5714285714285783
2023-09-08,66483.109375,70300.0,70300.0,69600.0,70200.0,10688118,68080.0,70018.33333333333,-0.14204545454545858
2023-09-11,66955.953125,70800.0,70800.0,70000.0,70400.0,11785462,68245.0,70001.66666666667,0.7112375533428139
2023-09-12,66672.2421875,70500.0,71000.0,70400.0,70800.0,11688599,68405.0,69990.0,-0.4237288135593209
2023-09-13,67050.53125,70900.0,71600.0,70300.0,71100.0,15955797,68600.0,69981.66666666667,0.5673758865248235
2023-09-14,67807.0859375,71700.0,71800.0,70800.0,71200.0,21041407,68850.0,70001.66666666667,1.128349788434413
2023-09-15,68090.8125,72000.0,72300.0,71400.0,71700.0,17823512,69135.0,70013.33333333333,0.4184100418409997
2023-09-18,66388.546875,70200.0,71700.0,70200.0,71300.0,16040727,69315.0,69990.0,-2.500000000000002
2023-09-19,66010.265625,69800.0,70800.0,69600.0,70400.0,11820188,69475.0,69946.66666666667,-0.5698005698005715
2023-09-20,65821.1171875,69600.0,70300.0,69500.0,70000.0,10873015,69600.0,69896.66666666667,-0.2865329512893977
2023-09-21,65159.12109375,68900.0,69800.0,68800.0,69200.0,10796336,69635.0,69833.33333333333,-1.0057471264367845
2023-09-22,65064.54296875,68800.0,68900.0,68300.0,68300.0,9897840,69720.0,69773.33333333333,-0.14513788098693414
2023-09-25,65631.96875,69400.0,69700.0,68500.0,68500.0,13582516,69850.0,69726.66666666667,0.8720930232558155
2023-09-26,65214.640625,68600.0,70000.0,68400.0,70000.0,13143470,69940.0,69653.33333333333,-1.1527377521613813
2023-09-27,65024.515625,68400.0,69100.0,68200.0,68600.0,14886491,70005.0,69576.66666666667,-0.2915451895043719
2023-10-04,64168.9140625,67500.0,67700.0,66700.0,67400.0,23361149,70035.0,69501.66666666667,-1.3157894736842146
2023-10-05,63408.40234375,66700.0,67400.0,66700.0,67300.0,16108313,69820.0,69420.0,-1.1851851851851891
2023-10-06,62742.94921875,66000.0,67300.0,66000.0,67100.0,14386527,69560.0,69355.0,-1.0494752623688153
2023-10-10,63123.19921875,66400.0,67600.0,66200.0,66200.0,19889202,69345.0,69303.33333333333,0.60606060606061
2023-10-11,64834.3671875,68200.0,69400.0,67900.0,68600.0,25209349,69255.0,69248.33333333333,2.710843373493965
2023-10-12,65499.828125,68900.0,69700.0,68200.0,68600.0,19311380,69180.0,69198.33333333333,1.026392961876832
2023-10-13,64644.24609375,68000.0,68500.0,67700.0,68000.0,9724086,69065.0,69133.33333333333,-1.3062409288824406
2023-10-16,63978.78515625,67300.0,68500.0,66800.0,67900.0,12599299,68890.0,69031.66666666667,-1.0294117647058787
2023-10-17,65975.15625,69400.0,69900.0,67400.0,67700.0,17299253,68835.0,68966.66666666667,3.1203566121842385
2023-10-18,67020.8671875,70500.0,70500.0,68800.0,68900.0,16493184,68815.0,68941.66666666667,1.5850144092218965
2023-10-19,66070.2265625,69500.0,70000.0,69400.0,69700.0,13985012,68705.0,68905.0,-1.4184397163120588
